Operatør,Navn,Adresse,Postnr,By,Effekt_kW,Stik,Antal_ladere,Latitude,Longitude
Tesla,Tesla Supercharger Randers South,"Merkurvej 55, 8960 Randers",8960,Randers,250,CCS+Tesla,24,56.430193,10.061864
Tesla,Tesla Supercharger Svenstrup J,"Skjoldet 4, 9230 Svenstrup J",9230,Svenstrup J,250,CCS+Tesla,24,56.952865,9.866131
Tesla,Tesla Supercharger Aalborg,"Hobrovej 452, 9300 Aalborg",9300,Aalborg,250,CCS+Tesla,16,57.004169,9.871296
Tesla,Tesla Supercharger Løkken,"Industrivej 5, 9480 Løkken",9480,Løkken,250,CCS+Tesla,12,57.37292,9.728705
Tesla,Tesla Supercharger Blokhus,"Høkervej 4, 9492 Blokhus",9492,Blokhus,250,CCS+Tesla,12,57.25242,9.582613
Tesla,Tesla Supercharger Haverslev,"Jyllandsgade 60, 9610 Nørager",9610,Nørager,250,CCS+Tesla,40,56.783428,9.69082
Tesla,Tesla Supercharger Hjørring - Sprogøvej,"Sprogøvej 1A, 9800 Hjørring",9800,Hjørring,250,CCS+Tesla,12,57.455791,10.04227
Tesla,Tesla Supercharger Frederikshavn,"Nordvejen 6, 9900 Frederikshavn",9900,Frederikshavn,250,CCS+Tesla,16,57.389257,10.510359
Uno-X,København SV Ellebjergvej,"Ellebjergvej 80, 2450 København SV",2450,København SV,300,CCS,8,55.650601,12.516389
Uno-X,Brøndby,"Vallensbækvej 4, 2605 Brøndby",2605,Brøndby,300,CCS,4,55.64393,12.40078
Uno-X,Kastrup,"Englandsvej 269, 2770 Kastrup",2770,Kastrup,300,CCS,4,55.634404,12.601528
Uno-X,Buddinge,"Buddinge Hovedgade 125, 2860 Søborg",2860,Søborg,300,CCS,4,55.74531,12.484546
Uno-X,Søborg Gladsaxevej,"Gladsaxevej 88-94, 2860 Søborg",2860,Søborg,300,CCS,8,55.72964,12.51324
Uno-X,Buddingevej,"Buddingevej 195, 2860 Søborg",2860,Søborg,300,CCS,2,55.75154,12.49593
Uno-X,Kokkedal,"Egevangen 4, 2980 Kokkedal",2980,Kokkedal,300,CCS,4,55.90513,12.47564
Uno-X,Store Lyngby,"Lille Lyngbyvej 1, 3320 Skævinge",3320,Skævinge,300,CCS,4,55.93772,12.1278
Uno-X,Hillerød Milnersvej,"Milnersvej 47, 3400 Hillerød",3400,Hillerød,300,CCS,6,55.92033,12.2906
Uno-X,Veksø,"Kirkebakken 15, 3670 Veksø Sjælland",3670,Veksø Sjælland,300,CCS,4,55.757926,12.232659
Uno-X,Roskilde,"Københavnsvej 107, 4000 Roskilde",4000,Roskilde,300,CCS,6,55.642542,12.113285
Uno-X,Kvanløse,"Ringstedvej 174, 4300 Holbæk",4300,Holbæk,300,CCS,8,55.65658,11.67312
Uno-X,Nørre Asmindrup,"Gl Nykøbingvej 116, 4572 Nørre Asmindrup",4572,Nørre Asmindrup,300,CCS,4,55.885325,11.608792
Uno-X,Næstved,"Vestergårdsvej 94, 4700 Næstved",4700,Næstved,300,CCS,8,55.25621,11.80561
Uno-X,Nykøbing F. Nordensvej 1,"Nordensvej 1, 4800 Nykøbing F",4800,Nykøbing F,300,CCS,4,54.80817,11.87181
Uno-X,Nakskov Løjtoftevej,"Løjtoftevej 24, 4900 Nakskov",4900,Nakskov,300,CCS,2,54.833449,11.150184
Uno-X,"Svendborg, Odensevej","Odensevej 94, 5700 Svendborg",5700,Svendborg,300,CCS,4,55.073079,10.58184
Uno-X,Svendborg,"Vestergade 100 A, 5700 Svendborg",5700,Svendborg,300,CCS,2,55.06422,10.59172
Uno-X,"Nyborg, Storebæltsvej","Storebæltsvej 7 D, 5800 Nyborg",5800,Nyborg,300,CCS,16,55.3085,10.80942
Uno-X,Truck Nyborg,"Storebæltsvej 7D, 5800 Nyborg",5800,Nyborg,300,CCS,2,55.30902,10.8084
Uno-X,"Kolding, Albuen","Vejlevej 263, 6000 Kolding",6000,Kolding,300,CCS,6,55.5138,9.45625
Uno-X,Haderslev,"Sejlstensgyde 1, 6100 Haderslev",6100,Haderslev,300,CCS,4,55.24879,9.49464
Uno-X,Kliplev,"Kliplev Industripark 2, 6200 Aabenraa",6200,Aabenraa,300,CCS,8,54.939254,9.380375
Uno-X,Rødekro,"Kometvej 1, 6230 Rødekro",6230,Rødekro,300,CCS,6,55.06779,9.3611
Uno-X,Fredericia,"Strevelinsvej 11 A, 7000 Fredericia",7000,Fredericia,400,CCS,6,55.53512,9.71686
Uno-X,Vejle Syd,"Godthåbsvej 55, 7100 Vejle",7100,Vejle,300,CCS,6,55.663872,9.548869
Uno-X,Exxit 59 Vejle,"Dtc Torvet 24, 7100 Vejle",7100,Vejle,400,CCS,16,55.74795,9.58713
Uno-X,Pårup,"Juuls Vej 3, 7442 Engesvang",7442,Engesvang,300,CCS,4,56.130654,9.351263
Uno-X,Vildbjerg,"Vestergade 35, 7480 Vildbjerg",7480,Vildbjerg,300,CCS,2,56.201936,8.763683
Uno-X,"Holstebro, Lægårdvej","Lægårdvej 140, 7500 Holstebro",7500,Holstebro,300,CCS,4,56.36423,8.67294
Uno-X,Tilst,"Havkærvej 79, 8381 Tilst",8381,Tilst,300,CCS,2,56.18686,10.12321
Uno-X,Lystrup,"Lægårdsvej 2A, 8520 Lystrup",8520,Lystrup,300,CCS,4,56.225572,10.237083
Uno-X,Viborg Arnbjerg C,"Arnbjerg Centret 3, 8800 Viborg",8800,Viborg,300,CCS,6,56.4217,9.40472
Uno-X,Sdr. Borup,"Gammel Århusvej 3, 8940 Randers SV",8940,Randers SV,300,CCS,4,56.41311,10.07462
Uno-X,Hjørring,"Hestkærvej 1, 9800 Hjørring",9800,Hjørring,300,CCS,2,57.45657,10.01091
