Operatør,Navn,Adresse,Postnr,By,Effekt_kW,Stik,Antal_ladere,Latitude,Longitude
OK,"OK Kongens Lyngby, Helsingørmotorvejen Syd","Helsingørmotorvejen 82, 2800 Kongens Lyngby",2800,Kongens Lyngby,400,CCS,4,55.799781,12.532626
OK,"OK Gladsaxe, Turbinevej","Turbinevej 4, 2860 Søborg",2860,Søborg,400,CCS,8,55.732581,12.457617
OK,"OK Ortved, Roskildevej","Roskildevej 398, 4100 Ringsted",4100,Ringsted,300,CCS,2,55.485004,11.850845
OK,"OK Slagelse, Valbyvej 65C (DC)","Valbyvej 65C, 4200 Slagelse",4200,Slagelse,300,CCS,4,55.415039,11.350176
OK,"OK Korsør, Storebæltsvej","Storebæltsvej 44, 4220 Korsør",4220,Korsør,350,CCS,4,55.350593,11.124565
OK,"OK Holbæk, Bilbyen","Bilbyen 12, 4300 Holbæk",4300,Holbæk,300,CCS,6,55.705854,11.670679
OK,"OK Kalundborg, Sydhavnsvej","Sydhavnsvej 1, 4400 Kalundborg",4400,Kalundborg,300,CCS,4,55.676753,11.105004
OK,"OK Haslev, Køgevej","Køgevej 1, 4690 Haslev",4690,Haslev,300,CCS,2,55.319252,11.973172
OK,"OK Vordingborg, Højgaardsvej","Højgaardsvej 13, 4760 Vordingborg",4760,Vordingborg,400,CCS,12,54.99762,12.005185
OK,"OK Nørre Alslev, Baltivej","Baltivej 1, 4840 Nørre Alslev",4840,Nørre Alslev,300,CCS,4,54.899434,11.916786
OK,"OK Odense C, Havnegade 71","Havnegade 71, 5000 Odense C",5000,Odense C,300,CCS,4,55.423257,10.38825
OK,"OK Odense S, Glisholmvej","Glisholmvej 5, 5260 Odense S",5260,Odense S,300,CCS,10,55.354208,10.424086
OK,"OK Ubberud, Middelfartvej","Middelfartvej 591, 5491 Blommenslyst",5491,Blommenslyst,300,CCS,4,55.389831,10.244182
OK,"OK Middelfart, Severin Kursuscenter","Skovsvinget 25, 5500 Middelfart",5500,Middelfart,320,CCS,2,55.512252,9.765944
OK,"OK Langeskov, Bronzetoften","Bronzetoften 2, 5550 Langeskov",5550,Langeskov,400,CCS,12,55.35272,10.562485
OK,"OK Aarup, Grønnemose","Industrivej 19, 5560 Aarup",5560,Aarup,300,CCS,4,55.413206,10.057435
OK,"OK Glamsbjerg, Stensgårdsvej","Stensgårdsvej 26, 5620 Glamsbjerg",5620,Glamsbjerg,300,CCS,2,55.272461,10.107523
OK,"OK Svendborg, Tvedvej","Tvedvej 139, 5700 Svendborg",5700,Svendborg,300,CCS,4,55.079113,10.622342
OK,"OK Ringe, Lombjergevej","Lombjergevej 2A, 5750 Ringe",5750,Ringe,400,CCS,12,55.235888,10.490174
OK,"OK Nyborg, Slipshavnsvej","Slipshavnsvej 3, 5800 Nyborg",5800,Nyborg,400,CCS,12,55.307736,10.81016
OK,"OK Rudkøbing, Nørrebro","Nørrebro 95, 5900 Rudkøbing",5900,Rudkøbing,300,CCS,2,54.940118,10.721238
OK,"OK Kliplev, Kliplev Industripark","Kliplev Industripark 6, 6200 Aabenraa",6200,Aabenraa,400,CCS,12,54.940035,9.38027
OK,"OK Løgumkloster, Nørremark","Nørremark 2, 6240 Løgumkloster",6240,Løgumkloster,300,CCS,4,55.063655,8.956738
OK,"OK Padborg, Lejrvejen","Lejrvejen 12, 6330 Padborg",6330,Padborg,300,CCS,4,54.834954,9.342128
OK,"OK Sønderborg, Dybbølgade","Dybbølgade 43A, 6400 Sønderborg",6400,Sønderborg,300,CCS,4,54.909944,9.77267
OK,"OK Sønderborg, Ragebøl, Hørtoftvej","Hørtoftvej 19K, 6400 Sønderborg",6400,Sønderborg,400,CCS,12,54.924975,9.724866
OK,"OK Hammelev, Lysbjergvej","Lysbjergvej 2A, 6500 Vojens",6500,Vojens,300,CCS,12,55.246001,9.39777
OK,"OK Fanø, Strandvejen","Strandvejen 21, 6720 Fanø",6720,Fanø,300,CCS,2,55.438515,8.393375
OK,"OK Bramming, SuperBrugsen","Nørregade 30, 6740 Bramming",6740,Bramming,300,CCS,2,55.466821,8.699236
OK,"OK Blåvand, Feriekompagniet - DC","Horns Bjerge 4, 6857 Blåvand",6857,Blåvand,300,CCS,4,55.555097,8.125549
OK,"OK Tistrup, Vardevej","Vardevej 47, 6862 Tistrup",6862,Tistrup,300,CCS,2,55.718005,8.61123
OK,"OK Ølgod, Østvej","Østvej 7, 6870 Ølgod",6870,Ølgod,300,CCS,2,55.808387,8.628455
OK,"OK Ringkøbing, Rindumgaards Allé","Rindumgaards Allé 90, 6950 Ringkøbing",6950,Ringkøbing,300,CCS,2,56.104548,8.256069
OK,"OK Truck Taulov, Europavej","Europavej 6, 7000 Fredericia",7000,Fredericia,300,CCS,4,55.542965,9.642169
OK,"OK Lindved, Skanderborgvej","Skanderborgvej 1, 7100 Vejle",7100,Vejle,400,CCS,12,55.804735,9.564446
OK,"OK Skærup Øst, Østjyske Motorvej","Østjyske Motorvej 617B, 7100 Vejle",7100,Vejle,400,CCS,11,55.640255,9.562887
OK,"OK Vejle, Godthåbsvej","Godthåbsvej 49, 7100 Vejle",7100,Vejle,400,CCS,12,55.663917,9.552096
OK,"OK Ødsted Nord, Ribevej","Ribevej 1, 7100 Vejle",7100,Vejle,300,CCS,2,55.663254,9.407747
OK,"OK Herning, Holstebrovej","Holstebrovej 29, 7400 Herning",7400,Herning,300,CCS,4,56.138118,8.946511
OK,"OK Ikast, Jyllandsgade","Jyllandsgade 30, 7430 Ikast",7430,Ikast,400,CCS,12,56.121854,9.173546
OK,"OK Struer, Bredgade","Bredgade 70, 7600 Struer",7600,Struer,300,CCS,4,56.480289,8.58473
OK,"OK Nykøbing Mors, Vester Fald","Vester Fald 2, 7900 Nykøbing M",7900,Nykøbing M,400,CCS,6,56.789523,8.827993
OK,"OK Aarhus C, Vandvejen DC","Vandvejen 7, 8000 Aarhus C",8000,Aarhus C,300,CCS,6,56.14203,10.231388
OK,"OK Hørning, Agerskovvej","Agerskovvej 1, 8362 Hørning",8362,Hørning,300,CCS,4,56.078452,10.026376
OK,"OK Ebeltoft, Ndr. Strandvej","Ndr. Strandvej 3, 8400 Ebeltoft",8400,Ebeltoft,300,CCS,6,56.202107,10.67786
OK,"OK Hammel, Hollandsvej","Hollandsvej 1, 8450 Hammel",8450,Hammel,300,CCS,4,56.242715,9.864667
OK,"OK Galten, Klank, Erhvervsparken","Erhvervsparken Klank 2, 8464 Galten",8464,Galten,300,CCS,4,56.146261,9.918652
OK,"OK Kolind, Aarhus Airport Ny Lufthavnsvej","Ny Lufthavnsvej 24, 8560 Kolind",8560,Kolind,300,CCS,4,56.308425,10.630377
OK,OK Ejer Bavnehøj V. Østjysk Motorvej,"Østjyske Motorvej 536A, 8660 Skanderborg",8660,Skanderborg,400,CCS,9,55.978639,9.864855
OK,OK Ejer Bavnehøj Ø. Østjysk Motorvej,"Østjyske Motorvej 545, 8660 Skanderborg",8660,Skanderborg,400,CCS,9,55.97789,9.870373
OK,"OK Horsens, Egebjerg, Langagergård","Langagergård 1, 8700 Horsens",8700,Horsens,300,CCS,4,55.901063,9.830686
OK,"OK Horsens, Kai Lindbergs Vej","Kai Lindbergs Vej 10, 8700 Horsens",8700,Horsens,300,CCS,10,55.846339,9.734864
OK,"OK Viborg, Randersvej","Randersvej 66B, 8800 Viborg",8800,Viborg,400,CCS,4,56.452855,9.449019
OK,"OK Truck Sdr. Borup, Engelsholmvej","Engelsholmvej 45, 8940 Randers SV",8940,Randers SV,400,CCS,2,56.413435,10.071051
OK,"OK Aalborg, Hobrovej 42A","Hobrovej 42A, 9000 Aalborg",9000,Aalborg,400,CCS,6,57.035405,9.908674
OK,"OK Aalborg, Skibsbyggerivej","Skibsbyggerivej 5, 9000 Aalborg",9000,Aalborg,300,CCS,8,57.045763,9.944809
OK,"OK Sæby, Trafikcenter Sæby Syd","Trafikcenter Sæby Syd 1A, 9300 Sæby",9300,Sæby,400,CCS,4,57.313206,10.450094
OK,"OK Støvring, Juelstrupparken","Juelstrupparken 30, 9530 Støvring",9530,Støvring,300,CCS,4,56.87915,9.807496
OK,"OK Haverslev, Jyllandsgade","Jyllandsgade 60A, 9610 Nørager",9610,Nørager,400,CCS,10,56.783759,9.691081
OK,"OK Brønderslev, Velkomstcenter Syd","Velkomstcenter Syd 1, 9700 Brønderslev",9700,Brønderslev,300,CCS,4,57.251952,9.972336
PowerGo,"PowerGo Nørre Aaby, Fynske Motorvej","Fynske Motorvej 571A, 5580 Nørre Aaby",5580,Nørre Aaby,400,CCS+CHAdeMO,14,55.4774,9.878729
Shell Recharge,SHELL KØBENHAVN Ø,"LYNGBYVEJ 60 A, 2100 København Ø",2100,København Ø,300,CCS,2,55.711383,12.560876
Shell Recharge,SHELL BRØNDBY,"Roskildevej 453, 2605 Brøndby",2605,Brøndby,300,CCS,2,55.669169,12.4369
Shell Recharge,SHELL BRØNSHØJ FREDERIKSSUNDSVEJ,"Frederikssundsvej 174, 2700 Brønshøj",2700,Brønshøj,300,CCS,2,55.705214,12.495319
Shell Recharge,SHELL HERLEV MILEPARKEN,"MILEPARKEN 37, 2730 Herlev",2730,Herlev,300,CCS,2,55.71673,12.437011
Shell Recharge,SHELL HERLEV RING 4,"RING 4 NR. 50, 2730 Herlev",2730,Herlev,300,CCS,2,55.751146,12.403188
Shell Recharge,SHELL KASTRUP,"Saltværksvej 62, 2770 Kastrup",2770,Kastrup,300,CCS,2,55.638269,12.638902
Shell Recharge,SHELL LYNGBY,"NYBROVEJ 190-192, 2800 LYNGBY",2800,LYNGBY,300,CCS,2,55.765408,12.489111
Shell Recharge,SHELL HOLTE,"Kongevejen 394, 2840 Holte",2840,Holte,300,CCS,2,55.818518,12.468163
Shell Recharge,SHELL HELLERUP KILDEGÅRDSVEJ,"Kildegårdsvej 105, 2900 Hellerup",2900,Hellerup,300,CCS,2,55.7379,12.54059
Shell Recharge,SHELL HØRSHOLM USSERØD KONGEVEJ,"Usserød Kongevej 79, 2970 Hørsholm",2970,Hørsholm,300,CCS,2,55.889526,12.496213
Shell Recharge,SHELL HELSINGØR,"Kongevejen 115, 3000 Helsingør",3000,Helsingør,300,CCS,2,56.025939,12.586626
Shell Recharge,SHELL FREDERIKSVÆRK,"Hillerødvej 34, 3300 Frederiksværk",3300,Frederiksværk,300,CCS,2,55.968294,12.029106
Shell Recharge,EXPRESS ROSKILDE,"Københavnsvej 13, 4000 Roskilde",4000,Roskilde,300,CCS,2,55.641131,12.096634
Shell Recharge,EXPRESS VORDINGBORG,"Højgaardsvej 6, 4760 Vordingborg",4760,Vordingborg,300,CCS,2,54.99816,12.000536
Shell Recharge,EXPRESS TARUP,"RUGVANG 34, TARUP, 5210 Odense NV",5210,Odense NV,300,CCS,2,55.410267,10.339793
Shell Recharge,SHELL KILDEBJERG NORD,"Fynske Motorvej 532A, 5492 Vissenbjerg",5492,Vissenbjerg,400,CCS,8,55.394127,10.187418
Shell Recharge,SHELL KILDEBJERG SYD,"Fynske Motorvej 531B, 5492 Vissenbjerg",5492,Vissenbjerg,400,CCS,8,55.393761,10.187418
Shell Recharge,EXPRESS HJERTING,"HJERTINGVEJ 68, HJERTING, 6700 Esbjerg",6700,Esbjerg,300,CCS,2,55.479325,8.42878
Shell Recharge,SHELL ESBJERG Ø.,"Korskrovej 8, 6705 Esbjerg Ø",6705,Esbjerg Ø,300,CCS,2,55.524759,8.59023
Shell Recharge,SHELL VEJLE HORSENSVEJ,"Horsensvej 78, 7100 Vejle",7100,Vejle,300,CCS,2,55.71917,9.562306
Shell Recharge,EXPRESS VEJLE ØST,"Wittrupvej 1, 7120 Vejle Øst",7120,Vejle Øst,300,CCS,4,55.727887,9.597437
Shell Recharge,SHELL VIBY J,"Skanderborgvej 123, 8260 Viby J",8260,Viby J,300,CCS,2,56.137112,10.177575
Shell Recharge,EXPRESS SILKEBORG,"Viborgvej 68, 8600 Silkeborg",8600,Silkeborg,300,CCS,2,56.200776,9.517918
Shell Recharge,Shell Express Viborg,"Gl. Århusvej 239, 8800 Viborg",8800,Viborg,300,CCS,2,56.418381,9.408606
Shell Recharge,EXPRESS RANDERS,"ÅRHUSVEJ 79, 8900 RANDERS",8900,RANDERS,300,CCS,2,56.442378,10.049382
