Mærke,Navn,Adresse,Postnr,By,Latitude,Longitude
OK,OK Ølgod,"Østvej 7, 6870 Ølgod",6870,Ølgod,55.808335,8.628784
OK,OK Tarm,"Vardevej 92, 6880 Tarm",6880,Tarm,55.802062,8.491918
OK,OK Tarm,"Vardevej 117, 6880 Tarm",6880,Tarm,55.799427,8.492175
OK,OK Hemmet,"Tarmvej 87A, 6893 Hemmet",6893,Hemmet,55.8517,8.3743
OK,OK Skjern,"Farverivej 7, 6900 Skjern",6900,Skjern,55.952162,8.512529
OK,OK Videbæk,"Nygade 2, 6920 Videbæk",6920,Videbæk,56.091927,8.632743
OK,OK Kibæk,"Møllegaardsvej 33, 6933 Kibæk",6933,Kibæk,56.036564,8.8659
OK,OK Lem St,"Bredgade 90, 6940 Lem St",6940,Lem St,56.026396,8.39028
OK,OK Ringkøbing,"Rindumgaards Allé 90, 6950 Ringkøbing",6950,Ringkøbing,56.104113,8.256938
OK,OK Ringkøbing,"Byvejen 34, 6950 Ringkøbing",6950,Ringkøbing,56.111994,8.423222
OK,OK Ringkøbing,"Hovervej 6, 6950 Ringkøbing",6950,Ringkøbing,56.144958,8.283444
OK,OK Ringkøbing,"Skaadsmosevej 17, 6950 Ringkøbing",6950,Ringkøbing,56.086007,8.271831
OK,OK Spjald,"Engvang 1, 6971 Spjald",6971,Spjald,56.127001,8.509265
OK,OK Ulfborg,"Holmegade 38, 6990 Ulfborg",6990,Ulfborg,56.275164,8.324123
OK,OK Ulfborg,"Kirkebyvej 8, 6990 Ulfborg",6990,Ulfborg,56.306037,8.186419
OK,OK Fredericia,"Europavej 2, 7000 Fredericia",7000,Fredericia,55.542748,9.642454
OK,OK Fredericia,"Egeskovvej 104, 7000 Fredericia",7000,Fredericia,55.578319,9.754364
OK,OK Fredericia,"Egeskov Bygade 4, 7000 Fredericia",7000,Fredericia,55.614977,9.744254
OK,OK Fredericia,"Erritsø Bygade 103, 7000 Fredericia",7000,Fredericia,55.543694,9.717536
OK,OK Fredericia,"Vejlevej 101, 7000 Fredericia",7000,Fredericia,55.569075,9.718269
OK,OK Fredericia,"Bødkervej 1, 7000 Fredericia",7000,Fredericia,55.531102,9.715549
OK,OK Børkop,"Kirkebakken 25, 7080 Børkop",7080,Børkop,55.646189,9.657716
OK,OK Børkop,"Brejning Søndergade 44, 7080 Børkop",7080,Børkop,55.661383,9.673615
OK,OK Børkop,"Skolegade 2, 7080 Børkop",7080,Børkop,55.638126,9.700184
OK,OK Vejle,"Østjyske Motorvej 617B, 7100 Vejle",7100,Vejle,55.639774,9.562257
